Seq;Md;Inc;Azi;Tvd
285;3094;90.8;18.46;1581.81
286;3097;90.96;18.68;1581.77
287;3100;91.12;18.91;1581.71
288;3103;91.07;19.13;1581.66
289;3106;91.18;19.36;1581.6
290;3109;91.53;19.58;1581.53
291;3112;91.64;19.8;1581.44
292;3115;91.72;20.03;1581.36
293;3118;91.92;20.25;1581.26
294;3121;91.95;20.48;1581.16
295;3124;91.99;20.7;1581.06
296;3129.1;91.93;21.08;1580.88
297;3133;91.96;21.49;1580.75
298;3136;91.92;21.8;1580.65
299;3139;91.88;22.12;1580.55
300;3145;91.91;22.75;1580.35
301;3148;91.9;23.06;1580.25
302;3151;91.96;23.38;1580.15
303;3158.1;92.01;24.12;1579.9
304;3162;91.61;24.3;1579.78
305;3165;91.41;24.43;1579.7
306;3168;91.04;24.57;1579.64
307;3171;90.81;24.7;1579.59
308;3174;90.35;24.84;1579.56
309;3177;90.06;24.97;1579.55
310;3180;90.02;25.11;1579.55
311;3183;89.93;25.24;1579.55
312;3187.2;90.01;25.43;1579.55
313;3191;89.97;25.72;1579.55
314;3194;89.94;25.95;1579.55
315;3200;89.55;26.41;1579.58
316;3203;89.05;26.64;1579.61
317;3206;88.71;26.87;1579.67
318;3209;88.38;27.1;1579.75
319;3212;88.1;27.33;1579.84
320;3216.2;88.09;27.65;1579.98
321;3220;87.93;27.74;1580.11
322;3223;87.97;27.81;1580.22
323;3226;87.96;27.88;1580.33
324;3229;87.9;27.95;1580.44
325;3232;87.96;28.02;1580.54
326;3235;87.92;28.09;1580.65
327;3238;88.1;28.16;1580.76
328;3241;88.26;28.23;1580.85
329;3245.1;88.63;28.33;1580.96
330;3249;88.97;28.58;1581.04
331;3252;89.24;28.77;1581.09
332;3255;89.46;28.96;1581.13
333;3261;89.74;29.34;1581.17
334;3264;89.9;29.53;1581.18
335;3267;89.97;29.72;1581.18
336;3270;89.91;29.91;1581.18
337;3274;89.99;30.16;1581.19
338;3277;90.15;29.98;1581.18
339;3280;90.29;29.81;1581.17
340;3283;90.25;29.63;1581.16
341;3292;90.34;29.1;1581.11
342;3295;90.52;28.92;1581.09
343;3298;90.84;28.74;1581.05
344;3303.1;91.19;28.44;1580.96
345;3307;91.57;28.71;1580.87
346;3310;91.75;28.93;1580.78
347;3313;91.9;29.14;1580.69
348;3316;91.94;29.35;1580.59
349;3319;91.93;29.56;1580.48
350;3325;91.72;29.98;1580.29
351;3328;91.26;30.19;1580.22
352;3332.1;90.92;30.48;1580.14
353;3336;90.36;30.47;1580.09
354;3339;90.08;30.47;1580.08
355;3342;90.03;30.46;1580.08
356;3345;90.04;30.46;1580.08
357;3348;90.01;30.45;1580.08
358;3351;89.97;30.45;1580.08
359;3354;90.01;30.44;1580.08
360;3357;89.98;30.44;1580.08
361;3361.2;89.95;30.43;1580.08
362;3365;90.03;30.41;1580.08
363;3368;90.01;30.39;1580.08
364;3371;89.99;30.38;1580.08
365;3374;90.02;30.36;1580.08
366;3377;90.03;30.35;1580.08
367;3380;90.03;30.33;1580.08
368;3383;90;30.32;1580.08
369;3386;89.99;30.3;1580.08
370;3390.2;90.02;30.28;1580.08
371;3394;90.04;30.37;1580.07
372;3397;90.04;30.45;1580.07
373;3400;90;30.52;1580.07
374;3403;90.07;30.59;1580.07
375;3406;90.03;30.67;1580.07
376;3409;90.02;30.74;1580.06
377;3412;89.99;30.81;1580.06
378;3415;90;30.89;1580.06
379;3419.3;89.96;30.99;1580.07
380;3423;89.99;30.83;1580.07
381;3426;89.98;30.7;1580.07
382;3429;89.98;30.57;1580.07
383;3432;90;30.44;1580.07
384;3435;89.96;30.31;1580.07
385;3438;89.98;30.18;1580.07
386;3441;89.99;30.05;1580.07
387;3444;90.01;29.93;1580.07
388;3448.3;89.95;29.74;1580.08
389;3452;89.99;29.47;1580.08
390;3455;90;29.24;1580.08
391;3458;90.02;29.02;1580.08
392;3461;90;28.8;1580.08
393;3464;89.96;28.58;1580.08
394;3467;90.04;28.35;1580.08
395;3470;89.97;28.13;1580.08
396;3473;90;27.91;1580.08
397;3477.3;89.97;27.59;1580.08
398;3481;90;27.34;1580.08
399;3484;90.02;27.13;1580.08
400;3490;89.96;26.72;1580.08
401;3493;90.02;26.52;1580.08
402;3496;89.99;26.31;1580.08
403;3499;89.98;26.11;1580.08
404;3502;89.97;25.9;1580.08
405;3506.4;89.99;25.6;1580.08
406;3510;89.99;25.17;1580.08
407;3513;90.01;24.81;1580.08
408;3516;89.97;24.46;1580.09
409;3519;89.95;24.1;1580.09
410;3522;89.98;23.74;1580.09
411;3525;89.9;23.39;1580.09
412;3528;89.99;23.03;1580.1
413;3531;90;22.67;1580.1
414;3535.4;89.94;22.15;1580.1
415;3539;90;21.79;1580.1
416;3542;89.98;21.49;1580.1
417;3545;90.04;21.19;1580.1
418;3548;89.93;20.89;1580.1
419;3551;90;20.59;1580.1
420;3554;89.96;20.29;1580.1
421;3557;89.95;19.99;1580.11
422;3560;90;19.69;1580.11
423;3564.5;89.97;19.24;1580.11
424;3568;90;18.97;1580.11
